brand, product_name, shipping,,,,,,shipping
GIGABYTE,GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, GV-R57XTGAMING OC-8GD,,,,,,GV-R57XTGAMING OC-8GD
EVGA,EVGA GeForce GTX 1660 Ti SC ULTRA GAMING, 06G-P4-1667-KR,,,,,,06G-P4-1667-KR
ASUS,ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card,Free Shipping,,,,,,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,Free Shipping,,,,,,Free Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL Video Card,$3.99 Shipping,,,,,,$3.99 Shipping
EVGA,EVGA GeForce GTX 1660 XC GAMING, 06G-P4-1163-KR,,,,,,06G-P4-1163-KR
ASRock,ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 8G OC Video Card,Free Shipping,,,,,,Free Shipping
ASUS,ASUS TUF Gaming X3 GeForce GTX 1660 SUPER DirectX 12 TUF 3-GTX1660S-O6G-GAMING Video Card,$4.99 Shipping,,,,,,$4.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING-8GD Video Card,Free Shipping,,,,,,Free Shipping
XFX,XFX Radeon RX 5600 XT RX-56XT6DF46 Video Card THICC II PRO-14GBPS 6GB BOOST UP TO 1620M D6  3xDP HDMI,$3.99 Shipping,,,,,,$3.99 Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5500 XT DirectX 12 100418P4GL Video Card,$3.99 Shipping,,,,,,$3.99 Shipping
EVGA,EVGA GeForce GTX 1660 Ti XC Black GAMING, 06G-P4-1261-KR,,,,,,06G-P4-1261-KR
